owners_number,pts,year,price,with_nds,is_oficial,city,parents_ids_len,mileage,state_not_beaten,images_count,cylinder_amount,cylinder_order,displacement,engine,gear,horse_power,mark,model_info,moto_type,stroke_amount,transmission
1,ORIGINAL,2021,3250000,False,True,Москва,6,1900,True,12,CYLINDERS_4,LINE,999,INJECTOR,CHAIN,207.0,BMW,S_1000_RR,SPORTBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,2300000,False,True,Санкт-Петербург,6,747,True,15,CYLINDERS_2,LINE,1085,INJECTOR,CHAIN,102.0,Honda,CRF_1000L_AFRICA_TWIN,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2020,1300000,False,True,Санкт-Петербург,6,13702,True,5,CYLINDERS_3,LINE,850,INJECTOR,CHAIN,115.0,Yamaha,XSR_900,NAKEDBIKE,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2016,2000000,False,True,Москва,6,13500,True,3,CYLINDERS_2,OPPOSITE,1170,INJECTOR,CARDAN,110.0,BMW,R_NINE_T,NAKEDBIKE,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2019,1190000,False,False,Москва,6,9300,True,5,CYLINDERS_4,LINE,650,INJECTOR,CHAIN,95.0,Honda,CB_650R,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2010,775000,False,False,Москва,6,38175,True,10,,,1200,INJECTOR,CARDAN,172.0,Honda,VFR_1200,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2000,723000,False,False,Москва,6,94715,True,10,,,1800,INJECTOR,CARDAN,117.0,Honda,GL_1800,CRUISER,,TRANSMISSION_5_FORWARD_AND_BACK
1,ORIGINAL,2002,890000,False,False,Москва,6,40302,True,10,,,1800,INJECTOR,CARDAN,117.0,Honda,GL_1800,CRUISER,,TRANSMISSION_5_FORWARD_AND_BACK
2,ORIGINAL,2020,2900000,False,True,Сочи,7,9625,True,10,CYLINDERS_4,LINE,1000,INJECTOR,CHAIN,218.0,Honda,CBR_1000_RR,SUPERSPORT,STROKES_4,TRANSMISSION_6
1,ORIGINAL,1997,265000,False,False,Санкт-Петербург,6,32668,True,23,CYLINDERS_4,V_TYPE,748,CARBURETOR,CHAIN,100.0,Honda,VFR_750,SPORTTOURISM,STROKES_4,TRANSMISSION_6
3,ORIGINAL,2018,2200000,False,True,Москва,6,7412,True,9,CYLINDERS_2,V_TYPE,1262,INJECTOR,BELT,152.0,Ducati,XDIAVEL,CRUISER,STROKES_4,TRANSMISSION_6
1,ORIGINAL,1993,295000,False,False,Санкт-Петербург,6,39302,True,22,CYLINDERS_4,LINE,998,CARBURETOR,CHAIN,135.0,Honda,CBR_1000_F,SPORTTOURISM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2006,415000,False,False,Калуга,7,26000,True,29,CYLINDERS_2,V_TYPE,745,CARBURETOR,CARDAN,45.0,Honda,VT_750,CHOPPER,STROKES_4,TRANSMISSION_5
2,ORIGINAL,2005,525000,False,False,Москва,6,19907,True,5,CYLINDERS_4,LINE,600,INJECTOR,CHAIN,98.0,Yamaha,FZ6,ROAD,STROKES_4,TRANSMISSION_6
